MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,5,8,95, false
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
749,8.720643,50,52,
750,8.712978,50,52,
751,8.705328,50,52,
752,8.697697,50,52,
753,8.690066,50,52,
754,8.682435,50,52,
755,8.674804,50,52,
756,8.667173,50,52,
757,8.659542,50,52,
758,8.651916,50,52,
759,8.644319,50,52,
760,8.636722,50,52,
761,8.629125,50,52,
762,8.621528,50,52,
763,8.613931,50,52,
764,8.606334,50,52,
765,8.598766,50,52,
766,8.591204,50,52,
767,8.583641,50,52,
768,8.576078,50,52,
769,8.568515,50,52,
770,8.560952,50,52,
771,8.55339,50,52,
772,8.545846,50,52,
773,8.538358,50,52,
774,8.530897,50,52,
775,8.52347,50,52,
776,8.516044,50,52,
777,8.508617,50,52,
778,8.501191,50,52,
779,8.493764,50,52,
780,8.486337,50,52,
781,8.478911,50,52,
782,8.471484,50,52,
783,8.464058,50,52,
784,8.456631,50,52,
785,8.449205,50,52,
786,8.441781,50,52,
787,8.434392,50,52,
788,8.427033,50,52,
789,8.419675,50,52,
790,8.412317,50,52,
791,8.404958,50,52,
792,8.3976,50,52,
793,8.390241,50,52,
794,8.382883,50,52,
795,8.375525,50,52,
796,8.368166,50,52,
797,8.360808,50,52,
798,8.353449,50,52,
799,8.346091,50,52,
800,8.338733,50,52,
801,8.331374,50,52,
802,8.324016,50,52,
803,8.316657,50,52,
804,8.309299,50,52,
805,8.301941,50,52,
806,8.294582,50,52,
807,8.287224,50,52,
808,8.279865,50,52,
809,8.272507,50,52,
810,8.265149,50,52,
811,8.25779,50,52,
812,8.250432,50,52,
813,8.243073,50,52,
814,8.235715,50,52,
815,8.228357,50,52,
816,8.220998,50,52,
817,8.21364,50,52,
818,8.206281,50,52,
819,8.198923,50,52,
820,8.191565,50,52,
821,8.184206,50,52,
822,8.176848,50,52,
823,8.169489,50,52,
824,8.162131,50,52,
825,8.154773,50,52,
826,8.147414,50,52,
827,8.140056,50,52,
828,8.132697,50,52,
829,8.125345,50,52,
830,8.11802,50,52,
831,8.110696,50,52,
832,8.103372,50,52,
833,8.096047,50,52,
834,8.088752,50,52,
835,8.081462,50,52,
836,8.074198,50,52,
837,8.066942,50,52,
838,8.059686,50,52,
839,8.052429,50,52,
840,8.045173,50,52,
841,8.037917,50,52,
842,8.030661,50,52,
843,8.023405,50,52,
844,8.01617,50,52,
845,8.008948,50,52,
846,8.001726,50,52,
847,7.994504,50,52,
848,7.987282,50,52,
849,7.980059,50,52,
850,7.972837,50,52,
851,7.965615,50,52,
852,7.958393,50,52,
853,7.951171,50,52,
