MODEL SETTING,,,,
SlowTwitchFibersPercentage, DaysBetweenWorkout, HourseOfSleep, Intensity, Lift
50,9,8,95, true
,,,,
Tic, MuscleMass, Anabolic, Catabolic,
552,31.115406,118.347548,74.447165,
553,31.164688,112.915151,68.959857,
554,31.212861,107.561368,63.603136,
555,31.259972,102.288754,58.384011,
556,31.306071,97.099992,53.494057,
557,31.351904,91.997919,52.101524,
558,31.397721,86.985577,52,
559,31.449148,131.716013,86.487289,
560,31.499508,126.122076,80.759114,
561,31.548985,120.599628,75.146423,
562,31.597377,115.151803,69.656345,
563,31.644707,109.781133,64.295446,
564,31.691073,104.490142,59.072293,
565,31.736449,99.281455,54.13539,
566,31.781202,94.157835,52.098299,
567,31.825728,89.122221,52,
568,31.875825,134.703202,87.182633,
569,31.92506,129.087103,81.452907,
570,31.973406,123.541162,75.837727,
571,32.020647,118.068392,70.344106,
572,32.06687,112.671248,64.978528,
573,32.112112,107.352162,59.747832,
574,32.155927,102.113655,54.757701,
575,32.199025,96.95836,52.243715,
576,32.241894,91.88909,52.014546,
577,32.290141,138.735309,88.226287,
578,32.337432,133.084998,82.487144,
579,32.383685,127.503669,76.862105,
580,32.428969,121.993946,71.357644,
581,32.473264,116.55807,65.979944,
582,32.516673,111.198313,60.735613,
583,32.559008,105.917052,55.779601,
584,32.600784,100.716789,52.643802,
585,32.642334,95.600192,52.047189,
586,32.689409,142.749343,88.532504,
587,32.735652,137.066531,82.799596,
588,32.780938,131.450865,77.179637,
589,32.825386,125.904963,71.679279,
590,32.868795,120.431042,66.304782,
591,32.911085,115.031301,61.069473,
592,32.952502,109.708021,56.114152,
593,32.99324,104.4636,52.50214,
594,33.033669,99.300582,52,
595,33.07935,146.383006,88.467275,
596,33.124363,140.671145,82.745014,
597,33.168666,135.025189,77.135736,
598,33.21201,129.447626,71.64601,
599,33.254374,123.940537,66.281985,
600,33.29569,118.506009,61.05019,
601,33.336031,113.146212,56.018824,
602,33.375709,107.863432,52.280348,
603,33.415207,102.660092,52,
604,33.459716,149.418356,88.240239,
605,33.503387,143.685619,82.533682,
606,33.54618,138.017429,76.939533,
607,33.588247,132.416327,71.464629,
608,33.629549,126.884376,66.115209,
609,33.66978,121.423619,60.897841,
610,33.709065,116.036161,55.861274,
611,33.74772,110.724213,52.332788,
612,33.786165,105.490113,52.000404,
613,33.82969,153.096438,88.936751,
614,33.872454,147.33492,83.225181,
615,33.914545,141.637003,77.625774,
616,33.955927,136.004963,72.144957,
617,33.996451,130.440721,66.788759,
618,34.036115,124.946209,61.563584,
619,34.074945,119.523436,56.479178,
620,34.113083,114.174515,52.437734,
621,34.15117,108.901676,52.025895,
622,34.194068,155.349652,88.07345,
623,34.236324,149.577993,82.390151,
624,34.277908,143.86886,76.819072,
625,34.318783,138.224622,71.366977,
626,34.358896,132.647203,66.040038,
627,34.397955,127.138513,60.844765,
628,34.436006,121.700519,55.949714,
629,34.473508,116.335283,52.690675,
630,34.510917,111.044988,52.001062,
631,34.553447,159.674679,89.792999,
632,34.595192,153.868273,84.083717,
633,34.636132,148.123463,78.485681,
634,34.676186,142.44226,73.004969,
635,34.715404,136.826426,67.647429,
636,34.753729,131.277754,62.419302,
637,34.791128,125.79811,57.327378,
638,34.827742,120.389453,52.867559,
639,34.864121,115.053852,52,
640,34.905485,163.284061,89.509883,
641,34.946187,157.451108,83.816023,
642,34.985887,151.678464,78.232988,
643,35.024634,145.968163,72.767136,
644,35.062683,140.321933,67.424397,
645,35.099856,134.741517,62.218193,
646,35.136174,129.228713,57.179213,
647,35.17167,123.785408,52.864543,
648,35.206938,118.413586,52,
649,35.246904,166.742523,89.614105,
650,35.286186,160.886507,83.926866,
651,35.324644,155.089745,78.350284,
652,35.362418,149.354202,72.890592,
653,35.39938,143.681553,67.553666,
654,35.435412,138.073478,62.345732,
655,35.470531,132.531713,57.273546,
656,35.504786,127.058077,53.003803,
657,35.538689,121.654485,52.001704,
658,35.577128,170.411638,89.9796,
659,35.615022,164.530393,84.294006,
660,35.652255,158.707329,78.718413,
661,35.688766,152.944354,73.25905,
662,35.724357,147.243097,67.921767,
663,35.759181,141.60518,62.712747,
664,35.793142,136.032286,57.638691,
665,35.826104,130.526173,53.278199,
666,35.85888,125.08868,52.003459,
667,35.896119,173.645405,89.848575,
668,35.932656,167.743837,84.173604,
669,35.968517,161.899603,78.608562,
670,36.003515,156.11456,73.159714,
671,36.037712,150.390272,67.83289,
672,36.071258,144.728313,62.634262,
673,36.104115,139.130317,57.570522,
674,36.136291,133.597989,53.475944,
675,36.168202,128.13312,52.046545,
676,36.204228,175.828476,89.256068,
677,36.239464,169.916484,83.601287,
678,36.273803,164.060941,78.056056,
679,36.307485,158.263769,72.626973,
680,36.340457,152.526556,67.32003,
681,36.372629,146.850868,62.142726,
682,36.403893,141.238313,57.176397,
683,36.434259,135.690561,52.900156,
684,36.464461,130.20936,52.000406,
685,36.498789,179.003549,90.081756,
686,36.532177,173.071436,84.417636,
687,36.564478,167.19505,78.862586,
688,36.596109,161.376195,73.422917,
689,36.627035,155.616396,68.10446,
690,36.657377,149.917165,62.913345,
691,36.686933,144.280063,57.868999,
692,36.715928,138.706714,53.545243,
693,36.744586,133.198822,52.017146,
694,36.777035,180.768273,89.19482,
695,36.808929,174.827148,83.553202,
696,36.840184,168.941287,78.021313,
697,36.870879,163.112466,72.605545,
698,36.901001,157.342164,67.311742,
699,36.930398,151.631856,62.146541,
700,36.959102,145.983062,57.13033,
701,36.987019,140.39737,52.771495,
702,37.014647,134.87644,52,
703,37.045963,181.343332,88.431576,
704,37.076739,175.405932,82.813522,
705,37.10693,169.523229,77.304825,
706,37.136558,163.697165,71.913263,
707,37.165055,157.929266,66.653306,
708,37.192735,152.221009,61.537952,
709,37.219716,146.573917,56.623877,
710,37.245975,140.989575,52.752017,
711,37.271925,135.469639,52.000702,
712,37.300949,183.574515,89.803907,
713,37.32938,177.624032,84.164546,
714,37.357283,171.727713,78.633452,
715,37.384656,165.887429,73.217315,
716,37.411553,160.104663,67.922018,
717,37.437945,154.380868,62.753676,
718,37.463804,148.717535,57.723544,
719,37.489049,143.116212,53.269554,
720,37.513939,137.578517,52.046137,
721,37.542047,185.316072,89.592666,
722,37.569718,179.356911,83.963154,
723,37.596962,173.451473,78.441931,
724,37.6236,167.601566,73.035614,
725,37.649581,161.808644,67.75008,
726,37.674769,156.074136,62.591456,
727,37.699336,150.399505,57.566343,
728,37.723291,144.786275,53.113554,
729,37.747143,139.236038,52,
730,37.774215,189.157073,91.465111,
731,37.800875,183.170578,85.804566,
732,37.826858,177.23717,80.251301,
733,37.852322,171.358449,74.811341,
734,37.877251,165.535787,69.49029,
735,37.901636,159.770554,64.294047,
736,37.925538,154.064163,59.22898,
737,37.948947,148.418088,54.427581,
738,37.972114,142.833867,52.016538,
739,37.998443,190.554552,89.894421,
740,38.024291,184.562549,84.270611,
741,38.049655,178.623081,78.754508,
742,38.074477,172.737881,73.3528,
743,38.098567,166.908331,68.071324,
744,38.122079,161.135785,62.916133,
745,38.145121,155.421636,57.913926,
746,38.167754,149.767338,53.732788,
747,38.190159,144.17441,52.081314,
748,38.215633,194.016897,92.438255,
749,38.240606,188.000318,86.768948,
750,38.265102,182.035894,81.206343,
751,38.289132,176.125052,75.756086,
752,38.312756,170.269072,70.423585,
753,38.335953,164.469257,65.214586,
754,38.358431,158.726955,60.135309,
755,38.380078,153.043562,55.193899,
756,38.401193,147.420537,52.137533,
757,38.425309,195.465404,90.832532,
758,38.44907,189.442455,85.198949,
759,38.472465,183.471152,79.672529,
760,38.495467,177.552999,74.259462,
761,38.517832,171.689283,68.965401,
762,38.539672,165.881287,63.796266,
763,38.561079,160.130342,58.758443,
764,38.582033,154.437837,53.956537,
765,38.602749,148.80522,52.000595,
766,38.626008,195.02494,89.360553,
767,38.648753,189.011482,83.760347,
768,38.670957,183.049632,78.268294,
769,38.692526,177.140935,72.89088,
770,38.713626,171.286672,67.633851,
771,38.734239,165.488131,62.503242,
772,38.754439,159.746644,57.541595,
773,38.77429,154.063602,53.539179,
774,38.794012,148.440458,52.008179,
775,38.816269,195.243009,90.397647,
776,38.838079,189.233274,84.782123,
777,38.85925,183.274909,79.273524,
778,38.87965,177.369512,73.87833,
779,38.899311,171.51838,68.602241,
780,38.918561,165.722804,63.45121,
781,38.937381,159.98412,58.431652,
782,38.955708,154.303717,53.926947,
